date,tweet
2019-04-05 19:59:57,Google Maps te lleva a tu infancia: Ahora puedes jugar a encontrar ‘Carmen Sandiego’ en Google Earth  http://elacarigueno.com/site2/google-maps-te-lleva-a-tu-infancia-ahora-puedes-jugar-a-encontrar-carmen-sandiego-en-google-earth/ … pic.twitter.com/RI6y0J1tyF
2019-04-05 19:59:54,Then you google it to confirm
2019-04-05 19:59:54,"The translation is better as ""difficult to follow everyone."" Not just you haha.  Google isn't very good at Japanese it seems.  pic.twitter.com/ULU45igyx3"
2019-04-05 19:59:54,Google Maps te lleva a tu infancia: Ahora puedes jugar a encontrar ‘Carmen Sandiego’ en Google Earth  http://elacarigueno.com/site2/google-maps-te-lleva-a-tu-infancia-ahora-puedes-jugar-a-encontrar-carmen-sandiego-en-google-earth/ … pic.twitter.com/nsf1Vy5Eny
2019-04-05 19:59:51,Google Maps te lleva a tu infancia: Ahora puedes jugar a encontrar ‘Carmen Sandiego’ en Google Earth  http://elacarigueno.com/site2/google-maps-te-lleva-a-tu-infancia-ahora-puedes-jugar-a-encontrar-carmen-sandiego-en-google-earth/ … pic.twitter.com/J6mMwA5SNn
2019-04-05 19:59:49,como tirar o botao de fav google pesquisar
2019-04-05 19:59:48,Google Maps te lleva a tu infancia: Ahora puedes jugar a encontrar ‘Carmen Sandiego’ en Google Earth  http://elacarigueno.com/site2/google-maps-te-lleva-a-tu-infancia-ahora-puedes-jugar-a-encontrar-carmen-sandiego-en-google-earth/ … pic.twitter.com/mCbcv2zISs
2019-04-05 19:59:48,Why doesn't google map have a horseback option
2019-04-05 19:59:47,"""If man evolved from apes, I’ve always asked then why are there still apes?""  If Google exists, why do the ignorant keep asking this question?"
2019-04-05 19:59:40,25 Ways to Use Audio in Google Slides Projects #GSuiteEDU https://shakeuplearning.com/blog/25-ways-to-use-audio-in-google-slides-projects/ …
2019-04-05 19:59:38,Coloquei no google tradutor para traduzir para o português mas a ferramenta nao detectou o idioma ahuahuahau
2019-04-05 19:59:38,Burası google değil kardeşim
2019-04-05 19:59:37,"国東市に関係するNewsです!無投票一転 ３氏が争う 国東市姫島村 【２０１９年 県議選】 - 大分のニュースなら 大分合同新聞プレミアムオンライン Gate - 大分合同新聞 | ""国東市"" - Google ニュース  http://bit.ly/2uNBCYf   https://ift.tt/eA8V8J  pic.twitter.com/gd8VqN1ERd"
2019-04-05 19:59:37,🎸 Google Flight hará predicciones sobre retrasos de los vuelos aéreos...  https://www.cinconoticias.com/google-flight-hara-predicciones-sobre-retrasos-en-vuelos/ …
2019-04-05 19:59:34,色々税務面での指摘もあるけど、何を以て｢ほとんどない｣と言ってるのかね？西海岸出羽仕草なのかそれはさておき、意外にある気がするけどね。あとお茶無料なの日本はデフォルトだけど(レベルは低い)、米国でもお茶無料だっけ？Googleとかそうだった記憶だけど  https://twitter.com/sakaijun/status/1112168903562665985 …
2019-04-05 19:59:34,"Facebook, Google and Twitter will join a hearing on tech censorship next week  http://dlvr.it/R2GJ9S  pic.twitter.com/3EKXWXjeaC"
2019-04-05 19:59:34,hey google how do I take my belly button ring out
2019-04-05 19:59:31,More signs that Amazon is attracting bigger search ad budgets  https://searchengineland.com/more-signs-that-amazon-is-attracting-bigger-search-ad-budgets-315050 … #marketing #google #seo pic.twitter.com/hYKbosLmKX
2019-04-05 19:59:25,Google honors pioneering Physicist Hedwig Kohn who fled Nazi Germany  http://bit.ly/2G2l5WM?utm_source=twitter.com&utm_medium=social&utm_campaign=social-share-article …
2019-04-05 19:59:25,⚡️ ¿Por qué es mejor usar el navegador Firefox en lugar de Google Chrome?  https://www.tecnovedosos.com/mejor-firefox-que-google-chrome/ …
2019-04-05 19:59:23,"para evitar el terrible tráfico de Asuncion, antes de salir siempre miro en Google Maps para saber que color está la Av a la que voy"
2019-04-05 19:59:21,Obamas African brother published a copie of B. Obamas Kenyan birth certificate.(google it). You cant be POTUS if not born in USA😏
2019-04-05 19:59:19,もしgoogle スライドの仕様変更についていけてなかったらすいません！笑
2019-04-05 19:59:19,"I just registered for Google I/O, and Google is aiming to make it a ""parking-free event."" In years past, it's mostly been a free parking event..."
2019-04-05 19:59:18,"if you google birth chart, go to the astrology cafe website and put in your info it explains everything for you and what it means. i found it so so interesting"
2019-04-05 19:59:18,"""Hey Google play Chasing Cars by Miranda Bailey"""
2019-04-05 19:59:18,Celestino Despachante - RJ no #Google  https://local.google.com/place?id=16532946097699597498&use=posts&lpsid=1822321554739758523 …
2019-04-05 19:59:17,あずき さん おはようございます。昨晩 Google Chrome の応答が無いとのことでしたが、もし現在もお困りの場合は、次のヘルプの内容を確認してみてくださいね。 http://goo.gl/qeyppw  その後の状況はいかがですか？
2019-04-05 19:59:13,Looking at your town on google streetview - I can see why bicycling within town where it's mostly flat is more popular. Here in Raleigh it's rolling hills many places so a short-ish ride could involve a lot of moderate to steep grades.
2019-04-05 19:59:12,New Google Assistant  http://bit.ly/2IiAnIv 
2019-04-05 19:59:11,Google Assistant to Return More Detailed Search Results on Android by MattGSouthern  http://bit.ly/2KcqEpQ  Matt Southern
2019-04-05 19:59:10,"I did Google the words. I had actually several guesses to meaning; ultimately I decided my explanations were one of 1 million+not what the writer intended. So it’s not a surprise it was epilepsy, since I felt it was something to do with illness that I did not understand."
2019-04-05 19:59:08,Google Maps incorpora mais uma função do Waze: reporte de congestionamento  http://bit.ly/2uLEJ31 
