Date,adj_close,volume,month,range_hl,range_oc,order_day,adj_close_lag_1,range_hl_lag_1,range_oc_lag_1,volume_lag_1,adj_close_lag_2,range_hl_lag_2,range_oc_lag_2,volume_lag_2,adj_close_mean,adj_close_std,range_hl_mean,range_hl_std,range_oc_mean,range_oc_std,volume_mean,volume_std
2019-11-25,1306.689941,1036200,11,13.180053999999927,-7.5098870000001625,203,1295.339966,17.319946000000073,10.280029000000013,1385700.0,1301.349976,19.589966000000004,0.13000400000009904,995500.0,1298.344971,4.249718826003992,18.45495600000004,1.6051465354289862,5.205016500000056,7.177151506712934,1190600.0,275913.0660189908
2019-11-26,1313.550049,1069700,11,9.71008299999994,-3.690063999999893,204,1306.689941,13.180053999999927,-7.5098870000001625,1036200.0,1295.339966,17.319946000000073,10.280029000000013,1385700.0,1301.0149535,8.025644288800521,15.25,2.927345706580013,1.3850709999999253,12.57937024033919,1210950.0,247133.82002469836
2019-11-27,1312.98999,995600,11,8.729980000000069,2.0100099999999657,205,1313.550049,9.71008299999994,-3.690063999999893,1069700.0,1306.689941,13.180053999999927,-7.5098870000001625,1036200.0,1310.119995,4.850828886476409,11.445068499999934,2.453640024620622,-5.599975500000028,2.7010227462325545,1052950.0,23688.077169749344
2019-11-29,1304.959961,587000,11,6.2349850000000515,2.160033999999996,206,1312.98999,8.729980000000069,2.0100099999999657,995600.0,1313.550049,9.71008299999994,-3.690063999999893,1069700.0,1313.2700195,0.39602151681691333,9.220031500000005,0.6930374775610681,-0.8400269999999637,4.030560978665044,1032650.0,52396.61248592317
2019-12-02,1289.920044,1510900,12,24.82995600000004,11.079956000000038,207,1304.959961,6.2349850000000515,2.160033999999996,587000.0,1312.98999,8.729980000000069,2.0100099999999657,995600.0,1308.9749755,5.678087959028296,7.48248250000006,1.764227883526495,2.085021999999981,0.1060829877413195,791300.0,288923.83079282334
2019-12-03,1295.280029,1143800,12,19.46105999999986,-15.71008299999994,208,1289.920044,24.82995600000004,11.079956000000038,1510900.0,1304.959961,6.2349850000000515,2.160033999999996,587000.0,1297.4400025,10.634827299184584,15.532470500000045,13.148630090067181,6.619995000000017,6.307337333855111,1048950.0,653295.9551382513
2019-12-04,1320.540039,1537500,12,20.930053999999927,-13.530029000000013,209,1295.280029,19.46105999999986,-15.71008299999994,1143800.0,1289.920044,24.82995600000004,11.079956000000038,1510900.0,1292.6000365,3.790081740562998,22.14550799999995,3.7963827690854335,-2.315063499999951,18.94341824515206,1327350.0,259578.8993735816
2019-12-05,1328.130005,1212700,12,12.918091000000004,-0.13000499999998283,210,1320.540039,20.930053999999927,-13.530029000000013,1537500.0,1295.280029,19.46105999999986,-15.71008299999994,1143800.0,1307.910034,17.861524363840992,20.195556999999894,1.0387356189223182,-14.620055999999977,1.5415309667528234,1340650.0,278387.93975314376
2019-12-06,1340.619995,1314800,12,10.56005899999991,-7.180053999999927,211,1328.130005,12.918091000000004,-0.13000499999998283,1212700.0,1320.540039,20.930053999999927,-13.530029000000013,1537500.0,1324.335022,5.366916427578018,16.924072499999966,5.665313367915646,-6.830016999999998,9.47524783846251,1375100.0,229668.28252939065
2019-12-09,1343.560059,1354300,12,21.60998500000005,-5.520019999999931,212,1340.619995,10.56005899999991,-7.180053999999927,1314800.0,1328.130005,12.918091000000004,-0.13000499999998283,1212700.0,1334.375,8.831756625953561,11.739074999999957,1.6673804174548932,-3.655029499999955,4.985137455597405,1263750.0,72195.6023591465
