timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-18 08:38:04,alphabet alphabetstock alphabetstockprice facebook Google Stock Is Growing but Should the Company Cut Down Its Share Repurchases httpstcoQ94rFHs0ZO httpstcowmXFnZpbPY,crypto_bittrail,"[u'alphabet', u'alphabetstock', u'alphabetstockprice', u'facebook']",2122
2020-02-18 07:54:38,and thats how we learn  Ruhrpott alphabet SpellItOut Germany VFL Bochum httpstcoYFUWdVbPlM,BettinaSRoss1,"[u'Ruhrpott', u'alphabet', u'SpellItOut', u'Germany', u'VFL', u'Bochum']",3481
2020-02-18 07:15:07,Bottle Cap Name Recognition Play for Toddlers and Preschoolers httpstcoD9bMDQfhU3 alphabet junkplay,BestToddlerToys,"[u'alphabet', u'junkplay']",5276
2020-02-18 06:28:47,This is why one letter of the alphabet has unleashed fury inside the AFL alphabet abc australia abcaustralia Property PropertyInvestment DavidQuinn httpstco1Qnx32zm3w,HelpMeBuyMyHom1,"[u'alphabet', u'abc', u'australia', u'abcaustralia', u'Property', u'PropertyInvestment', u'DavidQuinn']",2
2020-02-18 06:14:18,Check out my new artwork httpstcooLBLA6tCcu  Vector letters monogram alphabet logodesign font fontDesign symbols GraphicDesign Design Shutterstock httpstcoEkKYOl5TiZ,yurrey_p,"[u'Vector', u'letters', u'monogram', u'alphabet', u'logodesign', u'font', u'fontDesign', u'symbols', u'GraphicDesign', u'Design', u'Shutterstock']",6120
2020-02-18 06:13:53,Check out my new artwork httpstco71a56KE1wm  Vector letters monogram alphabet logodesign font fontDesign symbols GraphicDesign Design Shutterstock httpstcosMYRvKsiAL,yurrey_p,"[u'Vector', u'letters', u'monogram', u'alphabet', u'logodesign', u'font', u'fontDesign', u'symbols', u'GraphicDesign', u'Design', u'Shutterstock']",6120
2020-02-18 06:13:33,Check out my new artwork httpstcoKyCRGdab1i  Vector letters monogram alphabet logodesign font fontDesign symbols GraphicDesign Design Shutterstock httpstcocvvEbvOZWC,yurrey_p,"[u'Vector', u'letters', u'monogram', u'alphabet', u'logodesign', u'font', u'fontDesign', u'symbols', u'GraphicDesign', u'Design', u'Shutterstock']",6120
2020-02-18 06:13:05,Check out my new artwork httpstcouBLIrVPYxQ  Vector letters monogram alphabet logodesign font fontDesign symbols GraphicDesign Design Shutterstock httpstcoHsbhzLuX3P,yurrey_p,"[u'Vector', u'letters', u'monogram', u'alphabet', u'logodesign', u'font', u'fontDesign', u'symbols', u'GraphicDesign', u'Design', u'Shutterstock']",6120
2020-02-18 06:12:37,Check out my new artwork httpstcotdCka2Iz4f  Vector letters monogram alphabet logodesign font fontDesign symbols GraphicDesign Design Shutterstock httpstcospI0Q5Yvsp,yurrey_p,"[u'Vector', u'letters', u'monogram', u'alphabet', u'logodesign', u'font', u'fontDesign', u'symbols', u'GraphicDesign', u'Design', u'Shutterstock']",6120
2020-02-18 05:56:17,eLitmus Cryptarithmetic Questions Most asked in Infosys More Info httpstcoVMQ88eLYFj 📞  8886233228 elitmus pavanjaiswal infosysquestions cryptarithmetic BRAINWIZ mathematicalpuzzle alphabet elitmuspuzzles elitmustraining elitmusonlinetraining elitmusphtest httpstcoUazv6Jy9Q5,gobrainwiz,"[u'elitmus', u'pavanjaiswal', u'infosysquestions', u'cryptarithmetic', u'BRAINWIZ', u'mathematicalpuzzle', u'alphabet', u'elitmuspuzzles', u'elitmustraining', u'elitmusonlinetraining', u'elitmusphtest']",33
2020-02-18 05:46:34,36 LEARNING THE ALPHABET  Alphabet Soup  by Stuffed Productions  Funny Plushie Videos httpstcoMeNQKBqON5   Learning ALPHABET Comedy Cute Education Funny Kids Plush Plushie Polarbear Seal StuffedAnimals Teaching video,BonganiGiraffe,"[u'Learning', u'ALPHABET', u'Comedy', u'Cute', u'Education', u'Funny', u'Kids', u'Plush', u'Plushie', u'Polarbear', u'Seal', u'StuffedAnimals', u'Teaching', u'video']",1798
2020-02-18 05:27:00,Win an Engaging Storybooks for Toddlers Prize Pk Preschoolers will learn through sensory flipflap and board books pausitiveliving RaincoastBooks Can 35 httpstcoHNdkicMnCU alphabet httpstcobiNxSoPPje,pausitiveliving,"[u'Win', u'alphabet']",20523
2020-02-18 02:57:49,reading alphabet Wireless Remote Control Smart Robot Dog for Kids httpstco2OCRIGvFmL,zaileysstore,"[u'reading', u'alphabet']",60
2020-02-18 02:25:27,Language Latin Alphabet 1,6Taura,"[u'Language', u'Alphabet']",24
2020-02-17 23:23:36,Pixel 5ish   googlepixel pixel5 pixel5xl google alphabet ceo sundarpichai larrypage schmidt apple timcook stevejobs microsoft billgates satyanadela samsung oneplus huawei xiaomi android   httpstcozf2912diiv,TechGlass1,"[u'googlepixel', u'pixel5', u'pixel5xl', u'google', u'alphabet', u'ceo', u'sundarpichai', u'larrypage', u'schmidt', u'apple', u'timcook', u'stevejobs', u'microsoft', u'billgates', u'satyanadela', u'samsung', u'oneplus', u'huawei', u'xiaomi', u'android']",143
2020-02-17 23:15:31,Outlook working on Space like organization management tool  httpstcoSMtxx2o4P2  microsoftoutlook google alphabet ceo sundarpichai larrypage schmidt apple timcook stevejobs microsoft billgates satyanadela samsung oneplus huawei xiaomi android,TechGlass1,"[u'microsoftoutlook', u'google', u'alphabet', u'ceo', u'sundarpichai', u'larrypage', u'schmidt', u'apple', u'timcook', u'stevejobs', u'microsoft', u'billgates', u'satyanadela', u'samsung', u'oneplus', u'huawei', u'xiaomi', u'android']",143
2020-02-17 23:11:58,Alphabet series W Phonetic code is whiskey   httpstcoqQVwD34BzR  w alphabet,pierce2nd,"[u'w', u'alphabet']",1182
2020-02-17 23:10:36,Tuesday  graphicdesign lettering illustration MadewithIllustrator adobe visualinspiration 36daysoftype AdobeDesigners thedailytype typography alphabet vectors brushes artbrushes type blend… httpstcoensR9AXT5I,jujurants,"[u'graphicdesign', u'lettering', u'illustration', u'MadewithIllustrator', u'adobe', u'visualinspiration', u'36daysoftype', u'AdobeDesigners', u'thedailytype', u'typography', u'alphabet', u'vectors', u'brushes', u'artbrushes', u'type', u'blend']",290
2020-02-17 22:17:00,You’ve done it again ❤️  Our ABC Song video has earned over 2 MILLION views on YouTube 🎬  THANK YOU for watching and sharing our videos with a friend😊 httpstcoLcJYzWuRrW  abcs alphabet learning preschool kidsvideos videosforkids kidspacestudios kidspace httpstcozLCTYRKVl5,KIDspaceStudios,"[u'abcs', u'alphabet', u'learning', u'preschool', u'kidsvideos', u'videosforkids', u'kidspacestudios', u'kidspace']",85
