date,value0,value1
2/8/19,1095.060059,1097.463
2/11/19,1095.01001,1085.2906
2/12/19,1121.369995,1104.295
2/13/19,1120.160034,1121.1621
2/14/19,1121.670044,1131.9459
2/15/19,1113.650024,1125.433
2/19/19,1118.560059,1113.5281
2/20/19,1113.800049,1131.1976
2/21/19,1096.969971,1104.4799
2/22/19,1110.369995,1111.8536
2/25/19,1109.400024,1115.7184
2/26/19,1115.130005,1119.4856
2/27/19,1116.050049,1116.3596
2/28/19,1119.920044,1112.7443
3/1/19,1140.98999,1147.71
