date,tweet
2019-04-11 19:15:51,"Why It’s the Best and Worst of Times for Google Stock  https://hedgeaccordingly.com/why-its-the-best-and-worst-of-times-for-google-stock/ … #WallSt April 9, 2019@4:42pm"
2019-04-11 18:28:06,"RT RealGeneKim ""RT JonErlichman: Tech stock performance since the start of the bull market:   Netflix: +6,584% Amazon: +2,946% Nvidia: +2,218% Expedia: +1,973% Salesforce: +1,969% Apple: +1,585% Adobe: +1,523% Tesla: +1,023% Google: +731% Microsoft: +693% Facebook: +368% Int…"
2019-04-11 18:25:03,"Samsung are the opposite of Google, I would say stock Samsung apps run great on Samsung phones. Even Samsung knows not to bother with stock Google apps 🤣"
2019-04-11 18:02:54,"RT JonErlichman: Tech stock performance since the start of the bull market:   Netflix: +6,584% Amazon: +2,946% Nvidia: +2,218% Expedia: +1,973% Salesforce: +1,969% Apple: +1,585% Adobe: +1,523% Tesla: +1,023% Google: +731% Microsoft: +693% Facebook: +368% Intel: +344% Cisco:…"
2019-04-11 17:21:31,"04/11/19 11:06:36 AM Trade Allocation $GOOGL SS @ LMT 1212.1  Stop: 1222.69 Target: 1177.94, 1150, 1100  #GOOGL #Google #GoogleStock #Stocks"
2019-04-11 17:10:43,I would really love to Use a Google Pixel Phone  Just for the stock Android feel..
2019-04-11 17:05:05,"Ermmh... uso iPhone por cuestiones personales pero hace unos meses estaba usando un Google Pixel 2. Por mucho es un teléfono superior a cualquier Samsung y al iPhone XR que utilizo, y puedo constatar que el ecosistema de stock Android es más user friendly que iOS. That’s a fact."
2019-04-11 17:03:00,"It is a little like saying, “Even though I paid $100 for a sport coat,  I’m claiming it cost $2,000. Because if I hadn’t bought the sport coat, I  could have bought a share of Google stock that might have skyrocketed  in value.”"
2019-04-11 16:54:55,Google stock has gained 15% so far this year. Amazon stock is up 22% so far in 2019. #investingnews
2019-04-11 15:53:08,"Nuclear take: Getting ""broken up"" by Elizabeth Warren might be the best thing that could happen to Alphabe the stock. YouTube isn't properly valued as part of Google. Waymo certainly isn't"
2019-04-11 15:41:10,I'll stop using that source. I track the movements through stock investments and reports so I usually google search to find a more public source. This one is a better one. But it doesn't not highlight the yuan-oil part of it.  Just the whole plan.  https://www.foreignpolicyjournal.com/2017/10/19/one-belt-one-road-china-globalization-and-the-international-oligarchy/ …
2019-04-11 15:39:46,"...that is an extreme case. I don't think it's a problem that Georgetown holds google stock in its endowment & gives me a 403(b) contribution I can allocate to google stock. The reported situation seems much more like the latter, doesn't it?"
2019-04-11 15:38:23,"So I think Phil's point is something like this. Suppose the HoldCo charity holds $1B in google stock, all its earnings are google gains, & it pays its employees in google stock. This looks like an investment co. distributing net profits. When it earns $ employees earn $. But..."
2019-04-11 15:16:43,Did you buy it from Google last week or did you get it from your company last week?  And it says out of stock? Strange. Mine says 'no longer available'.
